产品名称	产品编码	产品型号	计量单位	上期结存(数量)	本期收入(数量)	本期发出(数量)	本期结存(数量)
管状电机动子	 	SS1603-75L	个	0	0	9	-9
管状电机	 	SS0404-109L-1.0	套	0	0	2	-2
管状电机动子	 	SS0601-200L	个	-1	0	0	-1
管状电机动子	 	SS1004-200L	个	-1	0	0	-1
管状电机动子	 	SSD0603H-120L-0.5	个	-6	0	0	-6
管状电机动子	 	SS0804-0.5	个	-1	0	0	-1
管状电机定子	 	SS16-351L	个	-9	0	0	-9
管状电机动子	 	SS1602N-240L-3.0	个	0	0	3	-3
管状电机动子	 	SS1602N-270L-3.0	个	-2	0	1	-3
管状电机	 	SSD1205-70L	套	-1	0	0	-1
管状电机	 	SS0802-70L-0.5	套	-2	0	0	-2
管状电机	 	SS1604N-240L-3.0	套	-1	0	0	-1
管状电机模组	 	SS2005-240MD-40Z-1.0	套	-1	0	0	-1
管状电机	 	SS1204-170L-3.0	个	-1	0	0	-1
管状电机	 	SS1604N-225L-3.0	套	-2	0	0	-2
管状电机定子	 	SS16-390L	个	-1	0	0	-1
管状电机定子	 	SS16-290L	个	-1	0	0	-1
管状电机定子	 	SS20-404L	个	-1	0	0	-1
管状电机定子	 	SS20-256L	个	-1	0	0	-1
管状电机	 	SSR0404-0.5-82L	套	-6	0	0	-6
管状电机定子	 	SS16-250L	个	-1	0	0	-1
管状电机定子	 	SS25-90L	个	-12	0	0	-12
管状电机	 	SS1604N-270L-3.0	套	-1	0	0	-1
管状电机定子	 	SS25-986L	个	-2	0	0	-2
管状电机动子	 	SS2502T5-5.0	件	-1	0	0	-1
管状电机动子	 	SS2502T2-5.0	件	-1	0	0	-1
管状电机	 	SSD0404-82L	套	-3	0	0	-3
管状电机动子	 	SS2502T4-5.0	件	-2	0	0	-2
管状电机定子	 	SS25-521L	个	-2	0	0	-2
管状电机	 	SSA1608-300L	套	-1	0	0	-1
管状电机	 	SSA1608-380L	套	-1	0	0	-1
管状电机	 	SSD0404-0.5-82L	套	-3	0	0	-3
管状电机定子	 	SS16-540L	个	-8	0	0	-8
管状电机动子	 	0502-0424	个	-2	0	0	-2
管状电机	 	SS0804-170L-0.5	套	-1	0	0	-1
管状电机	 	SSA2004-320L	套	-1	0	0	-1
管状电机	 	SS2004-580L	套	-1	0	0	-1
管状电机定子	 	SS16-68L	个	-24	0	0	-24
管状电机动子	 	SS1602N-0.4	个	-24	0	0	-24
管状电机定子	 	SS16-485L	个	-2	0	0	-2
管状电机	 	SSD0606H-91L	套	-16	0	0	-16
管状电机	 	SS2006-220L	套	-1	0	0	-1
管状电机	 	SSD0608-118L	套	-1	0	0	-1
管状电机动子	 	SSA3208-2.0	个	-10	0	0	-10
管状电机定子	 	SS20-405L	个	-156	0	9	-165
管状电机定子	 	SS20-305L	个	-159	0	6	-165
管状电机定子	 	SS06-125L	个	-1	0	0	-1
管状电机定子	 	SS08-125L	个	-1	0	0	-1
管状电机动子	 	SSA0804-1.0	个	-1	0	0	-1
管状电机定子	 	SSD06-137L	个	-1	0	0	-1
管状电机	 	SS3203-119L	套	-1	0	0	-1
管状电机定子	 	SS25-187L	个	-2	0	0	-2
管状电机动子	 	SS1604N-1.5-C	个	-6	0	0	-6
